MBKOM;NAKOM;SNKOM;RBGR;ADKOM
1200062;EXPRESS COURIER BGD 160-127638-21;EXPRESS;00159;
1200063;BSProcesor bgd 160-127786-62;PROCESOR;00159;
1009029;TEHNOSWELD;TEHNOSWELD;01473;
1200064;WIG BGD 285-1501000000133-30;WIG;03212;
1200066;SZTR MASINOALAT TRS 205-4052-57;MASINOALAT;02801;
1200067;ALKRISIMM TRSTEN 330-450000300-06;ALKRISIMM;02801;
1200068;SZTR NIKOM BGD 255-9780101000-19;NIKOM;00159;
1200071;BOMEX M.B PRESTING 285-1501000000528-09;BOMEX;00159;
1200072;VATROTREM COMMERCE BGD 160-64098-36;VATROTREM;00159;
7317290;S VOZILA UG 3-05/028;2 RAMA UG 3-05/028;00001;
1006030;JP EPS Ogranak TE-KO Kostolac;KOSTOLAC;01232;
7317291;S VOZILA UG 175-3/05 6 KABINA;UG 175-3/05;00001;
0324234;BOGNER EDELSTAHL BEC AUSTRIJA;BOGNER AUSTRIJA;00159;
0444444;LAND INSTRUMENTS INTERNATIONAL ENGLESKA;LAND ENGLESKA;00159;
0333335;M AND M INTERCOM D.O.O. SLOVENIJA;M&M SLOVENIJA;00159;
0448888;ROELTGEN GMBH AND CO.KG. NEMACKA;ROELTGEN NEMACKA;00159;
1400007;MILSPED BGD 205-3004-97;MILSPED;00159;
1400008;"MEHATRONIKA d.o.o. 160-8064-37;";MEHATRONIKA;01759;VASE ALBANCA 10
0345345;BOSCH REXROTH AG NEMACKA;BOSCH NEMACKA;00159;
0333555;HENNLICH IND. TEHNIKA D.O.O. HRVATSKA;HENNLICH HRVATSKA;00159;
1234515;ANDERSON CAPITAL CORPORATION USA;ACC USA;00159;
0000543;IGA PETROL;IGA PETROL;01255;
1400009;COMRET DOO TRSTENIK 330-45000010-03;COMRET;02801;
1006031;KOSTOLAC Ug.br.3-8/05 3-25-583;KOSTOLAC;01232;
0357324;MIOLMA SVAJCARSKA;MIOLMA SVAJCARSKA;00159;
1001504;OAO SEVERSTALJ CEREPOVEC 891/643-508;SEVERSTALJ CEREPOV;03225;
1400010;DELTA SPED SRPSKI KJUC 355-1007016-48;DELTA SPED;02505;
1400011;DOO PANPETROL MN LACARAK 160-10681-43;PANPETROL;01368;
1400012;VENTO AUT DEL BGD 205-2187-26;VENTO;00159;
1400013;IZOLINVEST BGD 205-2481-17;IZOLINVEST;00159;
1400014;JKP MILOS MITROVIC PLAN 160-7096-31;MILOS;02895;
1400015;INTERBEG BGD 260-0136010000598-52;INTERBEG;00159;
1006089;ZASTAVA PROCESNA OPREMA;ZASTAVA;01255;
1400016;BEOPHONE BGD 225-25830-74;BEOPHONE;00159;
1400017;NIWELD BGD 160-163101-41;NIWEL;00159;
1400018;AUTOPR MITROVIC TRAJKO 160-183101-84;AUTOPREV;02450;RUDNICKA 5
1400019;PRIM KOSTOLAC;PRIM;01232;Karadordeva bb
1400020;MEGA SPED VALJE 145-16195-84;MEGA;02862;
1400024;UNITRAG UZICE 220-15666-42;UNITRAG;02739;
1400026;INTERNACIONAL NIS 260-0176010009212-06;INTERNACIONAL;01759;
1400027;ADDINOL BEOGRAD 160-43617-78;ADDINOL;00159;
1001651;JP RB KOLUBARA Ug. br. 3-012;KOLUBARA;01389;Svetog Save br.1
1001506;IEH KOSTADINOVIC MINHEN;IEH;00001;
1008092;IG GROOUP;BEOGRAD;00159;
1400028;"EVROTEHNA DOO  355-1098521-43;";EVROTEHNAKA;01261;KONAREVO 105B
1400039;ELKO-PUMPS BGD 310-3536-81;ELKO;03212;
1400030;AUTOPR STOJKOVIC DRAGAN PALA;AUTOPREVOZNIK;02450;
1400031;SZR INSTALATER PALN 260-1106850036192-24;INSTALATER;02450;
1400032;SKYLINK BGD 255-2840101000-44;SKYLINK;00159;
0100809;SCHOLZ;SCHOLZ;00159;
0011223;SCHNEIDER ELECTIC INDUSTRIES SAS NEMACKA;SCHNEIDER NEMACKA;00159;
0022113;ALASKA SOFTVARE INC. NEMACKA;ALASKA NEMACKA;00159;
0033225;METRONIK SLOVENIJA;METRONIK SLOVENIJA;00159;
1001507;S VOZILA 178-3/05;S VOZILA07-33/05;00001;
1500038;GLOBAL UNIAGENT 205-4405-65;GLOBAL;00159;
1400052;UNIVERZUM PA 145-1074-51;UNIVERZUM;02450;
1400054;MARAB BGD 255-4722-65;MARAB;00159;
1500002;"STANICI o.d. 160-142452-05;";STANICI;02862;SABACKI PUT BB
1500003;DANE ARILJE 225-24296-20;DANE;00024;
1500004;BIOGRAFIKA SUBOT 355-10000114-93;BIOGRAFIKA;02586;
1500005;VIDPROJEKT TRST 260-86010007686-87;VIDPROJEKT;02801;
1500006;S.T.K.Z.R.MOTO SHOP 160-134213-84;MOTO;02450;KRALJA PETRA I 81
1500007;GRADINGELEKTRO SMEDER 260-116010010001-3;GRADINGELEKTRO;02449;
1500008;KONOR YU 260-3006010035854-20;KONOR;00497;
1500009;AL-ECO BGD 260-16010002622-12;AL;00159;
1500010;KALAJANOVIC I OSTAI IVANJ 355-1025969-31;KALAJANOVIC;00977;
1500011;TRANS LOGISTICS BG 220-123865-07;TRANS;00159;
1500012;TRANSPORT LOGISTIKA 340-26841-14;TRANSPORT;00159;
1500013;MANED BGD 345-9579-68;MANED;00159;
1009995;METALIKA - SOPOT;METALIKA;02471;
1600019;ELECTRA m&v DOO 160-124042-42;ELECTRA;02895;ORASKA 48
1600001;XIDROMETEOROLOSKI ZAV BGD 840-1562845-88;XIDROMETEOROLSKI;00159;
1600003;REZON MEDIA GRUP d.o.o.220-15370-57;REZON;00159;LOZNICKA 2
1600002;KONTAKT SOFT ZREN 355-1041225-47;SOFTSIC;03147;
1600004;NEWDON PALA 245-94682100036-10;NEWDON;02450;
1600005;AGENCIJA MILENIJUM KOV 160-31317-21;MILENIJUM;01242;
1600007;RI GALAX BGD 205-6018-76;GALAX;00159;
1600006;MOBILLAND BGD 170-10065-83;MOBILLAND;00159;
1600008;AD SEME PALAN 240-200172101500-54;SEME;02450;
1600009;ELTERMA BGD 260-16010004090-70;ELTERMA;00159;
1600010;SYMBOL INTERONL BG 260-16010001381-49;SYMBOL;00159;
1600011;CLUB NIS 160-106124-58;CLUB;01759;
1600012;JP SRBIJAGAS 160-930-02:;SRBIJAGAS;01796;NARODNOG FRONTA 12/VII
1600013;XRAST  PALA 355-1024503-64;XRAST;02450;
1600014;MILOSOFT BGD 355-1025713-23;MILOSOFT;00159;
1600015;POSLOV UDRUZE CRNE METALUR;POSLOVNO;00159;
0112233;URALVAGONZAVOD RUSIJA;URALVAGONZAVOD RUS;00159;
1600016;NB CELIK BATAJNICA;CELIK;00114;
1600017;UNIOR COMPONENTS 160-2222-06;UNIOR;01255;Kosovska 4
1001510;OAO AVDEJEVKA DONECKA UKRAJINA;AVDEJEVKA;03230;
1600018;BEOGRADSKI SAJAM 160-53341-06;SAJAM;00159;
1600020;TERMODOM BGD 220-8147-95;TERMODOM;00159;
0123321;JEMI CACAK;JEMI CACAK;00440;
1600021;"ATENIC COMMERCE CACAK;";ATENIC;00440;
1600023;RB KOLUBARA;KOLUBARA;03049;Svetog Save br.1
1600022;DULIN BGD 180-0849940101350-25;DULIN;00159;
1600024;NETIKS d.o.o.160-63782-14;NETIKS;00159;Bul.Kralja Aleksandra 193
1600025;TIJAN NIS 220-3330000013308-69;TIJAN;01759;
1600026;ZELTURIST BGD 345-10818-37;ZELTURIST;00159;
0111444;JUGOTRANSPORT OCOKOLJIC I OST. INANJICA;JUGOTRANSPORT IVAN;00977;
1001508;OAO SEVERSTALJ CEREPOVEC;OAO SEVERSTALJ;03225;
7317292;SINSKA VOZILA-UG.179-3/2005;UG.179-3/2005;00001;
1600027;R TOURS COMPANY BGD 170-300821524-65;TOURS;00159;
1600028;VERATNET BGD 265-1100310003416-83;VERATNET;00159;
1001509;ICO BERLIN GMBH;ICO BERLIN;00001;
0344444;SKO-TRADE CESKA;SKO - TRADE CESKAT;00159;
1001511;MOTOR GENERATOR;MOTOR;02586;1
1001512;S VOZILA UG 180-3/2005;S VOZILA UG 180-35;00001;
1600029;IMT FABR REM DOBA 125-440-40;PMT;00546;
1650028;TRANS PROM BGD 160-65012-10;TRANS;00159;
1600030;SZTR MAJSTOVIC DJORDJE 355-1005950-45 PL;MAJSTOROVIC;02450;
1600031;BUTIK BGD 255-14610101000-87;BUTIK;03212;
1600035;TOKA KOMERC UZICE 160-8635-70;TOKA;02739;
1600036;G.T.P. SERVIS PAL 355-1041547-51;SERVIS;02450;
1600037;VUSKOVIC I DRUGI 150-12776-28 PALA;VUSKOVIC;02450;
1001513;MEGA INZENJERING;MEGA INZENJERING;02450;
1600032;V-MAX N SAD 220-34364-14;V;01796;
1600033;kosava ivanjica 355-1005336-44;KOSAVA;00977;
1600034;SLAVE COMPUTERS  265-1610310003791-94;SLAVE;00159;Dimitrija Koturovica 12/8
1600038;radivojev  vrbas 205-117332-08;RADIVOJEV;03038;
1600039;kompjuter biblioteka cacak 205-8174-10;KOMPJUTER;00440;
1600040;DANUB TRADE BGD 355-1034089-18;DANUB;00159;
8070076;FADIP IBP 355-1023937-16;FADIP;00119;
1600042;GODENT NIS 110-8016010006961-44;GODENT;01759;
1600041;6 OKTOBAR BGD 205-2257-10;6;03212;
1235233;SOBENERGOKOM RUSIJA;SOBENERGOKOM RUSIA;00159;
1235235;ALPHA SHIPPING COMPANY SIA LATVIA;ALPHA SHIPPING LAT;00159;
1600043;MAG DJORDJEV V BANJA 225-19908-89;MAG;03057;
2233444;ILINOPROMET MAKEDONIJA;ILINOPROMET SKOPJE;03271;
7317293;S VOZILA UG 181-3/05;S VOZILA UG 181/05;02450;
1001786;UMBRA SOFTWARE;UMBRA;00159;
1600044;BEL INZINJERING  205-96718-61;BEL;00159;
1600045;HOTEL SLOBODA TASMIS 160-9516-46;HOTEL;01927;
0233223;CHAMBER OF COMERCE RF;CHAMBER RF;00159;
0232125;MRAZ ELEKTRONIK ZAGREB;MRAZ ELEKTRONIK ZA;00001;
0244444;ASPEX TRANS SPED d.o.o. BEOGRAD;ASPEX TRANS SPED B;00001;
1600046;"SIMENS DOO 170-123512-65;";SIMENS;00159;OMLADINSKIH BRIGADA 90v
1600047;KVANT PROM BGD 355-1011748-43;KVANT;00159;
0334444;MILICEV VALJEVO;MILICEV VALJEVO;02862;
1600048;GRADJEVINSKI FAKULT 840-1437666-41;FAKULTET;00159;
1001517;OAO SEVERSTALJ CEREPOVEC;OAO SEVERSTALJ;03225;
1600049;BDO BGD 295-1214105-50 REVIZ KUCA;BDO;00159;
1600050;HOTEL BREZA 840-11611-21;HOTEL;03057;
7164649;JP EPS Ogranak Kolubara Lazarevac;KOLUBARA         A;03049;
0124124;ALASKA SOFTVARE INC. NEMACKA;ALASKA NEMACKA;00159;
1600051;OLM TRST 160-277828-16;OLM;00159;
1600052;TEHNOKOMERC HEMIJA BGD 205-14282-19;TEHNOKOMERC;00159;
1600053;SPORT LINE ADIDAS 205-2000-05;ADIDAS;00159;
1600054;SZTR KRALJICA KRAG 355-1065053-52;KRALJICA;01255;
1600055;ON LINE 225-12050-92;LINE;00159;
1600056;DNB FAM BG 160-40346-94;DNB;00159;
1600057;BELOSAVAC 260-16010009713-79;BELOSAVAC;02450;
1600058;BBC BEOG 155-9082-21;BBC;00159;
1600060;HP MAJEVICA BAC PAL 340-2883-11;MAJEVICA;00042;
1001515;MG SERVIS CROATIA KARLOVAC;MG SERVIS;01109;
1600061;METAL CINKARA CUP 325-43889-82;METAL;00497;
1600062;LINDE BECEJ 355-1019859-28;LINDE;00119;
1001514;RB KOLUBARA LAZAREVAC170-12222-14;RB KOLUBARA;01389;
1600064;BOVEX BGD 160-216877-24;BOVEX;00159;
1600065;EUROSABA TRSTENIK 205-123064-78;EUROSABA;02801;
1001518;STARA VAROS D.O.O. 150-905-42;STARA VAROS;02753;PILOTA ZORANA TOMICA 32
1600066;"INTERSTEEL DOO 155-16066-21;";INTERSTEEL;00159;Bul kralja Aleksandra 80a
1600067;antel co bgd 285-1501000000112-93;ANTEL;00159;
1600068;"KARAPANDZIC D.O.O. 205-101233-96;";KARAPANDZIC;00977;II PROLETERSKE BB
1600069;HOTEL M MLADOST TURIS 170-300952571-65;HOTEL;00159;
1600070;NIK DOO 275-220017246-33;NIK;02450;MAJORA GAVRILOVICA bb
1600071;IVANOVIC FLEKS DOO 250-232633-07;IVANOVIC;00009;OMLADINSKA 3
1001519;TEHNOMETAL ZMR SELO ZABARI TOPOLA;TEHNOMETAL TOPOLA;02753;
1600072;S.P.Z.U.R. KOCIC ZLATAN KOVIN 305-310004;KOCIC;01248;
1001520;PK VARVARINSKO POLJE VARVARIN;VARVARINSKO POLJE;02870;
1600073;RB TARA CACAK 220-72756-74;TARA;00440;
1600074;N.N BOROVIC IVANJICA 160-35559-02;BOROVIC;00977;
1600078;AUTO MEXA RAD PALAN 260-1106850021431-75;AUTO;02450;
1001521; KOSTOLAC 3-01/06;KOSTOLAC         C;01232;
1001522;KOSTOLAC 3-07/06;KOSTOLAC;01232;
1001523;KOSTOLAC 3-05/06;KOSTOLAC 3-05/06;01232;
1001524;KOSTOLAC3-04/06;KOSTOLAC 3-04/06;01232;
1600075;ARGYS MHB TRS 245-4632-09;ARGYS;02801;
1600076;ELPAS BGD 325-3336-06;ELPAS;00159;
1600077;D.O.O.LILLY TRADE SENTA 355-1009995-35;LILLY;02377;
1600079;VID PROMET B PALANK 340-3347-74;VID;00042;
7317294;S VOZILA UGOVOR 183-3/06;S VOZILA UG 183-3;02450;
1600080;STAMENKOVIC KRAGUJ 220-32309-68;STAMENKOVIC;01255;
1600081;RAMINO NOVA PAZOV 340-32452.59;RAMINO;01772;
1600082;ARGUS MNV TRSTE;ARGUS;02801;
1600090;EUROSALON BGD 220-11849-47;EUROSALON;00159;
1600091;"STR METALSHOP 355-1026089-59;";METAL;02450;20 JULI 17
1600092;OSKAR TOURS BGD 110-1026010003466-53;OSKAR;00159;
1600093;HATEKS KRAGUJ 170-17286-51;HATEKS;01255;
1600094;STKUR EHTRA MOBIL 265-6650310000340-88;MOBIL;02450;
1600095;SECTRON BGD 265-1100310000260-45;SECTRON;00159;
1600096;"SLOVAS DOO   155-7456-49;";SLOVAS;00440;Bul.Oslobodjenja 106
1600097;GORDIKOM BGD 160-140756-49;GORDIKOM;00159;
1600088;MIHAJLOVIC I ORTACI NIS 235-1292000-22;ORTACI;01759;
1650089;"GARANT WIS D.O.O. 205-105172-16;";WIS;00159;KOSTE NADJA 28/12
1600098;PAN CARGO 265-4020310000029-09;PAN;01759;
1600099;KOVINTRADEBGD 265-1100310003630-23;KOVINTRADE;00159;
1600100;A.D. LIVEX PANCEVO 160-46328-93;LIVEX;01927;
1600101; DUCA 275-220035154-47;DUCA;02450;
1600102;LUNA TRONIK BGD 160-161407-79;LUNA;00159;
1600103;PC IMPULS 160-160972-26 BG;PC;00159;
1600104;CELIK PAK V BANJA 260-8006850032945-97;CELIK;03057;
1600105;EUROFER BGD 170-218-39;EUROFER;00159;
1600106;GTMCO d.o.o. 160-121539-82;GTMC;00159;DUSANA VUKASOVICA 74/9
1600107;DINK SOPOT 330-215-16;DINK;02471;
1600108;TEODOSIC SPED VALJ 160-126280-35;TEODOSIC;02862;
1001525;JP EPS Ogranak Kolubara Lazarevac;KOLUBARA;02902;
1001526;PD PRIM d.o.o. KOSTOLAC 105-5212227-39;PRIM KOSTOLAC;01232;Karadordeva bb
1001527;ROTIS CEMENTAC BRUSENJE ZUPCANIKA;ROTIS;00159;
0001529;RICHARD WELTER3-11/06;WELTER;00001;
1001528;RICHARD WELTER 3-12/06;WELTER;00001;
1001529;RICHARD WELTER 3-11/03;WELTER;03231;
1600110;ETG D.O.O. PAL 160-143388-10;ETG;02450;
1001530;UNTER WASSER LC GMBH 12-4/06;UNTER WASSER LC GH;03231;
1001531;TJAZPROMESKPORT MOSKVA;TJAZPROMESKPORT;03232;
1001532;DEIMANN-HANIEL MINING SYSTEMS GMBH;DEIMANN-HANIEL GMB;03231;
1600109;KOMBOS BGD 205-79256-67;KOMBOS;00159;
1600111;VEKOM GEO D.O.O. 155-14993-39;VEKOM;00159;TREBINJSKA 24
1600112;NIVEL PALAN 160-253300-74;NIVEL;02450;
1600113;DIZAJN STUDIO PAL 180-943680101700-68;DIZAJN;02450;
1600114;KOBRA PALAN 355-1031653-51;KOBRA;02450;
1600115;BAROK ARANDJ 260-9006010034206-87;BAROK;00022;
1600116; KOMERC PROGRES 340-29517-37;PROGRES;00962;
1600117;CALIFORMIA BGD 285-1501000000356-40;CALIFORMIA;00001;
1600118;GRO AS ALEKSANDROVAC 245-18932101181-82;AS;00008;
1700002;MOSTKOLOR BGD 265-110031004061-88;MOSTKOLOR;00159;
1700003;FRANS MAAS BGD 265-1100310003312-07;FRANS;00159;
1700004;FIMAKS BROKER BGD 355-1016950-25;FIMAKS;00159;
1700005;MGV INTERNACIONAL NIS 240-30142101300-54;MGV;01759;
1700006;VOJVODINA SPED N.S 355-1003883-38;VOJVODINA;01796;
7317295;S.VOZILA UG 184-3/06;UG 184-3/06;02450;
0222555;IPSEN INTERNATIONAL GMBH NEMACKA;IPSEN NEMACKA;03252;
0222666;GUNTHER AND CO. GMBH NEMACKA;GUNTHER NEMACKA;00159;
0004444;SCHENCK PROCESS GMBH NEMACKA;SCHENCK NEMACKA;00159;
1001533;ZGOP;ZGOP;01796;
1001534;RICHARD WELTER GMBH;RICHARD WELTER;03231;
1700007;VATROSTALNA KRALJEV 225-24630-85;VATROSTALNA;01261;
1700008;PATENTING BGD 190-3910-91;PATENTING;00159;
0223355;HBC RADIOMATIC GMBH NEMACKA;HBC NEMACKA;00159;
0666666;SLV MUNCHEN NEMACKA;SLV NEMACKA;00159;
1700009;HANSA FLEX d.o.o.;HANSA;00159;Lole Ribara 120
1700010;SUNSEC BGD 265-1690310000084-48;SUNSEC;00159;
0356987;RICHARD WELTER GMBH NEMACKA;RICHARD NEMACKA;00159;
1555224;ENZFELDER GMBH NEMACKA;ENZFELDER NEMACKA;00159;
5556663;GUSSSTAHL HANDELSGELSCHAFT NEMACKA;GUSSSTAHL NEMACKA;00159;
0321654;S.C. ALTIM-RO SRL RUMUNIJA;S.C.ALTIM RUMUNIJA;00001;
1700011;GIGATRON DOO 265-1090310000036-88;GIGATRON;00159;KIROVLJEVA 17
1700012;INOVA BGD 255-11120101000-22;INOVA;00159;
1700013;ROAMING ELECTRONICS GD 125-1723022-66;ROAMING;00159;
1001535;BISKO TRANS D.O.O TRG.TR.PRED.;BISKO;02231;
1700014;EL-TECH-PLUS BACKA TOP 345-7899-64;EL;00043;
1700015;"POLILAST TRSTENIK 355-1063766-33;";POLILAST;02801;
1700016;AD BEOPAN BGD 225-14729-09;BEOPAN;00159;
2223344;JOHANNES HUBNER NEMACKA;HUBNER NEMACKA;00159;
1700017;"EVROKOMERC doo  160-37886-05;";EVRO;00354;LOLE RIBARA 2
1700018;BIROTEHNIKA BGD 295-1223155-60;BIROTEHNIKA;00159;
1700019;ODRI VALJEVO 340-11005099-38;ODRI;02862;
3333333;SCHILDKNECHT INDUSTRIELEKTONIK SYSTEME A;SHILDKNECHT NEMACK;00159;
1231326;TIEFENBACH GMBH NEMACKA;TIEFENBACH NEMACKA;00159;
1700023;MLAZMATIK KACAR 330-33000126-45;MLAZMATIK;01062;
2254444;INSTAR AIRMARKETING LTD BAHAMAS;INSTAR BAHAMAS;00159;
1700020;E-LOG DOBANOVCI 180-71140101000-22;LOG;00546;
1700021;BIROGRAFIKA LUKS SUBO 260-50060100353774;BIROGRAFIKA;02586;
1700022;UTC UNITRANS COMME 180-606540101000-61;UNITRANS;00159;
1700024;SPEDEKS DOO POZA 160-7871-34;SPEDEKS;02098;
1700025;"PRO TEAM d.o.o.170-30003524000-88;";PRO TEAM;00159;Arhimedova 11,Dobanovci
1700026;ABD KOMERC BGD 245-2378-78;ABD;00159;
1700027;JP PK KOSOVO 360-12422702011-30;KOSOVO;01221;
1001536;SEVERSTALJ CEREPOVEC;SEVERSTALJ CEREPOC;03225;
1700028;JASENICA PAL 840-359647-21;JASENICA;02450;
1700029;OVERNIGHT EXPRESS ZEM 285-15010000007809;OVERNIGHT;03120;
1700030;"GRAFOTEHNIKA DOO  205-108333-39;";GRAFOTEHNIKA;02450;VOJVODE STEPE 7
1700031;IIC WP PALANKA 160-258969-42;IIC;02449;
1700036;CAM TOP PALAN;CAM;02450;
1700037;M ELEKTRONIK ZEMUN;M;03120;
1700038;SEIBL TRADE BGD 275-220010211-89;SEIBL;03212;
1700039;TANDEM CACAK 160-11858-04;TANDEM;00440;
1700041;MILAN PREMASUNAC KACAREVO 160-184695-55;MILAN;01062;
0123324;UNIVERZAL NEMACKA;UNIVERZAL NEMACKA;00159;
0234444;TITEX NEMACKA;TITEX NEMACKA;00159;
1700042;METAL TERM MLADENOVAC 205-84475-27;METAL;01673;
1700043;IRMA PROJEKT SIST 160-5489-02;IRMA;02162;
1700044;EUROTEH-GASd.o.o. 160-63685-14:;GAS;03147;DR.KORNELIJA RADULOVICA
0232212;JSC NMEC RUSIJA;JSC NMEC RUSIJA;00159;
0265545;FBS ELEKTRONIK D.O.O. SLOVENIJA;FBS SLOVENIJA;00159;
7317296;S. VOZILA UG.3-06/45;S.VOZILA UG.3-06/5;02450;
1001537;SEVERSTALJ CEREPOVEC;SEVERSTALJ;03225;
1001538;CLYDE BERGEMANN;CLYDE;03233;
1001539;JP EPS Ogranak Kolubara Lazarevac;KOLUBARA;01389;Svetog Save br.1
1001540;PPT ANDI JAGODINA;PPT ANDI;02617;
1700045;DOO SM & ND N SAD 355-1009436-63;SM;01796;
1700046;S.Z.R VERMAX VODICE 205-97003-79;VERMAX;03000;
2244444;URMA-WEISS AUSTRIJA;URMA-WEIS AUSTRIJA;00159;
0120120;OOO NMIK RUSIJA;OOO NMIK RUSIJA;00159;
1700047;MARK METAL BGD 330-4001260-59;MARK;00159;
1700048;"TIPTEH d.o.o. 220-13421-84;";TIPTEH;00159;MOSE PIJADE 17A
0233212;WM Cargonet NEMACKA;WM CARGONET NEMACA;00159;
1700040;KNJAZ MILOS ARANDJE 265-1100310001579-68;KNJAZ;00022;
1001541;PROMETAL SAM RAD IVKOVIC;PROMETAL;02450;
2536352;CLYDE BERGEMANN ENGLESKA;BERGEMANN ENGLESKA;00159;
1700049;TEHNOIMPEX DOO BGD 205-105080-98;TEHNOIMPEX;00159;
1700050;PUTEVI SRBIJE BGD 840-930621-22;PUTEVI;00159;
2345444;DIROSTAHL KARL DIEDRICH KG NEMACKA;DIROSTAHL NEMACKA;03252;
1700051;spi spare parts international bgd 205-12;SPI;00159;
1001542;RICHARD WELTER UG 0828/06;RICHARD;00159;
1001543;RICHARD WELTER;RICHARD;00159;
1001544;ZELEZARA NIKSIC 14-103-06;ZELEZARA;01757;
0000654;TECSIS GMBH NEMACKA;TECSIS NEMACKA;00159;
1700052;ONLINE COMPUTERS 205-95951-34;ONLINE;00159;
1001545;HIDROTEHNIKA HIDROENERGETIKA BGD;HIDROTEHNIKA HIDRO;00159;
1700053;NI PRO NIS 225-29242-23;NI;01759;
1700054;AD LIVNICA LJIG 265-1630310005737-73;LIVNICA;01470;
1700055;DONNA TRADE BGD 255-9090101000-37;DONNA;00159;
1700056;GUTMAN BGD 170-15697-65;GUTMAN;00159;
1001546;RAPP HYDEMA;RAPP HYDEMA;00001;
1700057;PARKING SERVIS 160-69905-75;PARKING;00159;
1700058;"FERO-MONT DESIGN DOO 205-162721-29;";FERO;00022;DRINSKA bb
1001547;LOLA INSTITUT BGD;LOLA;00159;
1700059;DEM SPED CACAK 155-8463-35;DEM;00440;
1001548;TECOOP DOO PANCEVO;TECOOP;01927;Savska 12-14
1700060;"MASIN-ELEKTRO 160-5584-08;";MASIN;02625;SUVOBORSKA bb
1001549;LUCA GRUPA D.O.O. 330-50000130-14;LUCA GRUPA;02450;SOLUNSKA BB
1700061;MB ELIT BGD 145-1502-28;ELIT;00159;
1700062;MN COMPANY BGD 180-0826530101700-96;COMPANY;00159;
1001550;AALBORG PROJECTS K/S;AALBORG;03234;
2005000;"IGMA INZENJERING 250-1550000145030-65;";IGMA;00159;BORCA-LICKA 17
2005001;METAL;METAL;02753;DUSANA PETROVICA 14
1002000;HE POTREC;POTREC;02077;
1700063;MEPRON BGD 265-1620310003364-64;MEPRON;00159;
1700068;ND TRANS SUBOTICA 355-1068834-58;ND;02586;
1700069;ADT SUBOTICA  115-2413-03;ADT;02586;
1700070;BTI MONTENEGRO 265-1100310001402-14;BTI;00159;
1700071;EVROPA EXPORT PALAN 160-7637-57;EVROPA;02450;
1700072;JUVENTA ZEMUN 160-8713-30;JUVENTA;03120;
1700073;DPD BGD 170-300957518-65;DPD;00159;
1006032;JP EPS Ogranak TE-KO Kostolac;KOSTOLAC;01232;
1006033;EPS - TEKO KOSTOLAC;KOSTOLAC;01232;
1700074;SZR IZOLACIJA  SM PAL 160-109335-28;IZOLACIJA;02450;
1005036;PIMING PAVLOVIC i.dr.205-3268-81;PIMING;00159;PIRANDELOVA 13
1700064;TEHNOUNION SR KAME 345-9387-62;TEHNOUNION;02497;
1700065;SEGMENT PALA 150-9832-33;SEGMENT;02450;
1700066;BLC METAL BGD 110-1026010002949-52;METAL;00159;
1700067;LIM MONTER PALA 260-1106850037135-08;LIM;02450;
1700078;DIS INTERNAC NIS 165-2896-87;DIS;01759;
1700077;BALKAN PRESS N BG 265-1040310000515-65;BALKAN;00159;
1001551;PPT FABRIKA UREDJAJA I DEL BRUS;PPT FABRIKA UR;00354;
2562566;INFOSISTEM ITALIJA;INFOSISTEM ITALIJA;00159;
2562564;FIN S.A. POLJSKA;FIN S.A. POLJSKA;00159;
2552552;UPETROM-1 MAI S.A. RUMUNIJA;UPETROM RUMUNIJA;00159;
2552554;INVEC - REMACON SLOVENIJA;INVEC SLOVENIJA;00159;
1700079;TEOS ALATI BGD 155-1431-82;ALATI;00159;
1700080;MARVIS BGD 355-1076146-44;MARVIS;00159;
1700081;ENIGMA IDEAL 115-13893-95;ENIGMA;00159;
4554455;FREXT AG AUSTRIJA;FREXT AG AUSTRIJA;00159;
5544555;KARL;KARL NE          M;00159;
1700082;ZIVIC ELEKTRO 325-46317-73 PAL;ZIVIC;02450;
1700083;TEHNOTEX SOMBOR 355-1002418-68;TEHNOTEX;02468;
1007080;TERRACOTTA;TERACOTA;01132;
7152295;PPT PNEUMATIKA 290-10007-95;PPT;02801;
1700088;MIODRAGOVIC STULAC 105-71001-38;MIODRAGOVIC;02580;
7159295;ELEKTROMORAVA POZAREVA 160-765-12;ELEKTROMORAVA;02098;
1700089;DANE PALAN 265-6410310003686-77;DANE;02450;
1700090;DOCUS CACAK 155-9518-71;DOCUS;00440;
1002060;"BRANKO MS.R.205-196424-91;";BRANKO;00837;NEMANJINA 49
1008030;JP EPS Ogranak Kolubara Lazarevac;KOLUBARA;03049;
1006050;ITAL INTERPART;ITAL;00159;
1700092;JP POSTA SRBIJE  160-98026-05:;PTT;00159;TAKOVSKA 2
1001552;KOCKS KRANE-BREMEN;KOCKS KRANE;03235;
1700093;"GM INZINJERING BG 310-150325-94;";GM;00159;
7164298;TROJON FISER PAL 260-1106010036530-23;TROJON;02450;
1700094;PROIGMA VRSAC 160-252278-36;PROIGMA;03064;
1003557;HIDROS 95;HIDROS 95;02801;
1006034;JP EPS Ogranak TE-KO Kostolac;KOSTOLAC;01232;
1700095;"SZR CVETKOI MAKSIM;";CVETKO;02471;
1700097;GVOZDJARA DUBONJAC 170-50005868000-03;DUBONJAC;02450;
1700099;faminex d.o.o. krusevac 205-11-55;FAMINEX;01325;
1100067;PRENIK;PRENIK;02450;NAZOROVA 12
